tmdb_id,release_date
10477,2001-04-27
7220,2004-04-15
8967,2011-05-17
83,2004-08-06
11852,2002-12-13
10139,2008-11-05
3291,2005-09-16
11456,2001-10-28
72207,2012-04-27
51017,2011-04-22
10197,2009-12-03
1262,2006-09-09
8202,2005-11-30
13920,2003-10-24
2787,2000-02-18
11870,2002-02-08
13682,2005-02-11
26389,2010-02-04
8090,2008-01-22
49950,2011-02-04
10052,2002-02-22
9357,2002-08-21
9621,2005-10-14
10385,2000-02-16
9266,2002-08-16
1957,2002-05-21
26367,2009-09-11
22538,2010-08-12
13493,2008-03-07
19901,2010-01-06
8427,2002-10-31
13813,2008-12-31
11375,2003-06-09
27582,2011-01-13
14359,2008-12-12
10027,2005-02-02
3989,2004-10-10
10033,2005-11-23
14059,2008-02-05
11478,2000-03-31
10735,2003-03-27
16186,2005-02-25
11260,2008-07-08
14114,2004-01-30
10781,2006-10-05
12819,2010-07-05
11431,2005-04-06
72431,2012-01-19
167,2001-10-26
11078,2003-01-17
10393,2000-08-11
13972,2008-09-12
51162,2011-04-06
41210,2010-05-11
1259,2006-12-25
34016,2010-03-11
4599,2004-05-27
13455,2009-02-04
9676,2006-09-15
398,2005-09-30
12162,2008-10-10
34803,2010-04-15
87825,2012-09-21
42888,2010-12-17
15045,2004-12-25
1523,2006-09-27
3432,2007-05-31
12244,2009-08-19
37950,2010-07-30
49012,2011-04-08
12435,2007-08-24
11531,2000-10-27
22824,2009-11-05
25793,2009-11-06
10229,2002-01-25
25196,2009-12-16
786,2000-09-15
9969,2006-11-22
6961,2005-02-04
243,2000-03-17
43959,2011-04-08
11683,2005-06-18
10577,2000-12-22
59967,2012-09-26
28178,2009-06-08
2196,2007-08-17
308,2005-07-31
13956,2008-08-15
10718,2004-01-16
10315,2009-10-14
10060,2005-11-09
2447,2006-11-30
1781,2006-05-24
49527,2012-01-13
791,2005-10-14
8193,2004-06-11
11968,2005-09-30
8869,2002-07-17
6933,2008-01-04
26390,2010-03-04
48289,2010-09-30
15655,2000-02-11
23631,2010-09-01
11979,2002-02-10
11453,2005-08-12
1365,2001-12-26
60747,2012-03-15
1999,2001-11-23
12163,2008-09-07
14926,2003-08-15
19405,2001-02-16
10188,2008-08-06
8409,2003-04-04
82505,2012-09-21
9562,2003-11-26
4108,2002-10-02
13490,2008-02-08
11170,2006-12-12
7445,2009-12-02
13335,2008-04-25
13908,2002-08-02
12783,2008-09-05
11857,2002-01-11
38117,2011-01-21
1646,2007-01-05
14410,2009-01-16
13477,2010-01-29
1948,2006-08-31
8976,2005-04-21
10782,2003-04-18
9918,2006-01-13
257,2005-09-23
9895,2006-10-09
13184,2008-08-21
10358,2008-09-18
9726,2006-09-09
38073,2010-08-27
16710,2008-03-21
82687,2012-12-19
11323,2009-09-18
8456,2008-03-04
13596,2008-09-19
14254,2009-01-30
12277,2002-05-31
11823,2004-09-13
9766,2006-09-15
1088,2003-01-30
4942,2008-03-24
9750,2007-08-29
49049,2012-09-07
58151,2011-08-18
4169,2007-02-12
13572,2004-02-27
47327,2011-02-24
13812,2008-10-10
12177,2008-06-20
18501,2009-09-03
62206,2011-08-11
10431,2007-08-24
10391,2000-08-11
9927,2005-12-23
72387,2012-04-16
20857,2001-09-14
4858,2007-08-17
23706,2009-08-06
16,2000-09-01
77,2000-10-11
69668,2011-09-29
12837,2008-09-17
59860,2011-07-01
4958,2000-11-02
26428,2009-05-17
9290,2001-04-12
24150,2009-08-28
747,2004-04-09
2977,2007-03-02
10152,2003-04-14
11452,2002-03-29
512,2006-07-27
40807,2011-09-30
8285,2008-12-25
1975,2006-10-12
9779,2005-06-01
50321,2011-03-09
11615,2003-02-21
16320,2005-09-25
9708,2006-08-31
14423,2008-01-11
15028,2002-03-29
12658,2001-03-30
3093,2006-03-29
1977,2009-05-12
12212,2000-09-22
9794,2006-10-06
9788,2006-08-18
14034,2001-05-31
17379,2006-01-13
93856,2012-05-24
12146,2003-11-26
17332,2009-04-24
23618,2000-08-18
10025,2006-05-12
5393,2007-01-05
9034,2002-09-20
9899,2005-12-25
44944,2010-11-05
205,2004-12-22
64689,2012-07-30
9776,2003-03-28
11817,2003-03-28
57119,2011-05-06
9681,2005-12-25
9793,2007-03-22
11442,2002-07-01
9954,2006-09-07
11086,2001-12-21
15450,2008-09-12
46261,2010-11-06
54054,2012-01-26
10862,2000-11-15
116011,2000-07-27
7450,2000-06-16
10866,2001-10-05
2621,2000-04-07
14177,2005-04-22
18947,2009-04-01
35169,2010-04-30
55465,2011-11-04
25643,2009-09-18
19265,2009-06-19
38031,2010-09-22
1691,2007-06-07
44115,2010-11-12
11091,2001-10-19
72213,2011-09-30
62008,2012-02-23
1430,2002-10-09
17908,2000-01-12
60599,2012-09-14
9541,2004-03-25
2057,2001-05-08
10294,2007-04-20
8978,2005-01-19
75900,2011-11-23
17711,2000-06-30
13967,2006-12-03
8849,2004-10-22
57431,2011-12-09
72334,2012-04-20
13805,2008-08-29
421,2004-12-10
1272,2007-04-05
38684,2011-03-11
39781,2010-07-09
15092,2009-04-16
4771,2007-09-18
11973,2000-12-25
81025,2012-03-09
8321,2008-02-08
20616,2002-09-06
10610,2003-08-15
1359,2000-04-13
13341,2005-07-22
10632,2003-03-11
94352,2012-11-09
13411,2003-04-10
11056,2002-10-11
10564,2000-04-27
2294,2001-08-22
13257,2007-09-14
12182,2008-10-03
44040,2010-09-16
10426,2002-11-22
13260,2008-02-28
7942,2007-09-06
14438,2008-09-26
8870,2000-11-10
126509,2012-07-13
11004,2000-02-22
11469,2001-11-21
84892,2012-09-20
70435,2011-11-01
22825,2009-10-29
9042,2005-08-26
17043,2002-07-26
86838,2012-10-12
3635,2003-12-12
4912,2002-12-31
81796,2012-04-12
8457,2008-02-04
2757,2002-12-06
101267,2012-06-28
18405,2009-03-13
25195,2010-01-08
17880,2005-02-18
16409,2008-12-25
3489,2007-02-14
118957,2012-09-05
17336,2009-04-24
